epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2536.26,0.75049,0.46487,0.9903,0.84961,0.83795,0.90193,0.69479,0.93166,0.6977,1.12838,0.0011882,0.0011882,0.0011882
43,2596.25,0.74058,0.46089,0.98434,0.84696,0.88796,0.91582,0.69773,0.93195,0.61248,1.18108,0.0011684,0.0011684,0.0011684
44,2655.87,0.73526,0.46114,0.9891,0.87925,0.84422,0.92112,0.68496,0.97588,0.63354,1.15466,0.0011486,0.0011486,0.0011486
45,2714.6,0.73722,0.46128,0.98532,0.83715,0.87407,0.91425,0.69373,0.94438,0.64258,1.15068,0.0011288,0.0011288,0.0011288
46,2774.17,0.72622,0.45303,0.98219,0.85369,0.84981,0.91359,0.69276,0.93787,0.64845,1.15019,0.001109,0.001109,0.001109
47,2834.21,0.73173,0.4514,0.9844,0.86611,0.84235,0.912,0.69466,0.93009,0.63763,1.15931,0.0010892,0.0010892,0.0010892
48,2902.68,0.71864,0.44507,0.9827,0.88191,0.83396,0.9024,0.68923,0.93533,0.65576,1.128,0.0010694,0.0010694,0.0010694
49,2961.76,0.7195,0.44561,0.97837,0.86529,0.85821,0.91335,0.69401,0.92482,0.6232,1.14613,0.0010496,0.0010496,0.0010496
50,3022.94,0.71065,0.44178,0.97597,0.87259,0.84142,0.91369,0.70061,0.93283,0.65298,1.13583,0.0010298,0.0010298,0.0010298
51,3082.5,0.69957,0.43354,0.9716,0.87513,0.85642,0.91637,0.69862,0.93436,0.6255,1.16031,0.00101,0.00101,0.00101
52,3143.33,0.70078,0.43738,0.96964,0.84797,0.85847,0.92139,0.70618,0.9239,0.61843,1.1637,0.0009902,0.0009902,0.0009902
53,3203.71,0.70101,0.43053,0.96464,0.87274,0.85634,0.92176,0.70558,0.94541,0.63291,1.16773,0.0009704,0.0009704,0.0009704
54,3263.9,0.68669,0.42163,0.96687,0.87718,0.85261,0.91164,0.68546,0.94408,0.65017,1.18239,0.0009506,0.0009506,0.0009506
55,3322.29,0.68296,0.41361,0.96258,0.8678,0.87034,0.91492,0.69967,0.90397,0.61196,1.17708,0.0009308,0.0009308,0.0009308
56,3380.74,0.66955,0.41175,0.96268,0.86143,0.8694,0.91772,0.70301,0.91833,0.6079,1.1601,0.000911,0.000911,0.000911
57,3442.55,0.66926,0.40875,0.95988,0.86796,0.8666,0.91569,0.70581,0.92032,0.61187,1.16399,0.0008912,0.0008912,0.0008912
58,3502.9,0.66582,0.4059,0.95971,0.85703,0.87792,0.9231,0.70803,0.91179,0.61152,1.15089,0.0008714,0.0008714,0.0008714
