epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1570.5,0.83593,0.53912,1.01065,0.85572,0.87034,0.9258,0.70102,0.93263,0.61533,1.04683,0.00101,0.00101,0.00101
42,1606.92,0.83778,0.54206,1.0101,0.86987,0.85821,0.9222,0.69434,0.93407,0.61718,1.02646,0.00098525,0.00098525,0.00098525
43,1642.98,0.82667,0.53313,1.00324,0.84322,0.89552,0.92911,0.70343,0.93194,0.61274,1.05764,0.0009605,0.0009605,0.0009605
44,1680.29,0.82388,0.54018,1.00715,0.87097,0.84795,0.93419,0.69355,0.99496,0.63462,1.0895,0.00093575,0.00093575,0.00093575
45,1716.91,0.81591,0.53285,1.00159,0.85096,0.86474,0.92027,0.6915,0.95872,0.62586,1.06645,0.000911,0.000911,0.000911
46,1752.27,0.80499,0.5205,0.99691,0.85965,0.87034,0.92361,0.6993,0.94307,0.62183,1.05037,0.00088625,0.00088625,0.00088625
47,1786.54,0.81419,0.52475,1.00241,0.83223,0.89311,0.92775,0.69368,0.95208,0.60118,1.07867,0.0008615,0.0008615,0.0008615
48,1821.24,0.80041,0.51673,0.99925,0.86077,0.87082,0.9338,0.71517,0.93048,0.62449,1.04918,0.00083675,0.00083675,0.00083675
49,1857.73,0.79643,0.51232,0.99489,0.88727,0.84981,0.92601,0.70624,0.92309,0.60888,1.04616,0.000812,0.000812,0.000812
50,1892.3,0.796,0.50981,0.99654,0.88304,0.85216,0.9199,0.70249,0.92124,0.62338,1.052,0.00078725,0.00078725,0.00078725
51,1926.95,0.79001,0.50397,0.99315,0.85579,0.88022,0.92297,0.6882,0.96398,0.61808,1.07054,0.0007625,0.0007625,0.0007625
52,1962.61,0.78938,0.50468,0.98967,0.84744,0.88526,0.9215,0.69032,0.96674,0.61628,1.0705,0.00073775,0.00073775,0.00073775
53,1998.5,0.77893,0.49499,0.9819,0.86873,0.87593,0.92755,0.71075,0.92219,0.60132,1.05468,0.000713,0.000713,0.000713
54,2035.54,0.776,0.4926,0.98559,0.85507,0.87506,0.91711,0.67546,1.02266,0.65642,1.08695,0.00068825,0.00068825,0.00068825
55,2072.97,0.76546,0.48937,0.98237,0.87314,0.86007,0.92239,0.69323,0.94793,0.61604,1.05561,0.0006635,0.0006635,0.0006635
56,2109.82,0.77103,0.48834,0.98614,0.8487,0.89832,0.92662,0.70446,0.90625,0.59563,1.03802,0.00063875,0.00063875,0.00063875
57,2146.69,0.75909,0.47934,0.98261,0.87212,0.86474,0.92778,0.70376,0.91431,0.61011,1.04531,0.000614,0.000614,0.000614
58,2185.34,0.75161,0.47315,0.97828,0.88264,0.8629,0.92397,0.70246,0.92588,0.60272,1.0635,0.00058925,0.00058925,0.00058925
59,2227.14,0.74466,0.4731,0.97509,0.86454,0.87687,0.92466,0.7021,0.90493,0.60388,1.03647,0.0005645,0.0005645,0.0005645
60,2269.4,0.75508,0.47444,0.97378,0.85438,0.8834,0.92339,0.70598,0.92297,0.63142,1.03357,0.00053975,0.00053975,0.00053975
61,2309.06,0.73928,0.46773,0.97219,0.87257,0.8623,0.91263,0.69658,0.92295,0.6106,1.07016,0.000515,0.000515,0.000515
62,2347.66,0.73119,0.46243,0.97031,0.87754,0.86287,0.91773,0.70404,0.9007,0.62879,1.0421,0.00049025,0.00049025,0.00049025
63,2385.76,0.74075,0.46326,0.97516,0.86941,0.87313,0.92868,0.70951,0.93345,0.60112,1.06119,0.0004655,0.0004655,0.0004655
64,2422.39,0.72764,0.45654,0.96989,0.88195,0.86101,0.92183,0.70355,0.91056,0.59559,1.051,0.00044075,0.00044075,0.00044075
65,2458.93,0.72152,0.45541,0.9647,0.85235,0.89552,0.92215,0.71188,0.91944,0.61128,1.05213,0.000416,0.000416,0.000416
66,2495.12,0.7238,0.45697,0.96592,0.86587,0.87407,0.92036,0.70986,0.91023,0.61257,1.04467,0.00039125,0.00039125,0.00039125
67,2530.97,0.71503,0.45379,0.96541,0.86785,0.86847,0.91637,0.70058,0.93356,0.62309,1.06403,0.0003665,0.0003665,0.0003665
68,2568.02,0.70939,0.44699,0.96149,0.86224,0.88749,0.92761,0.71483,0.90752,0.61071,1.05014,0.00034175,0.00034175,0.00034175
69,2606.3,0.70427,0.44354,0.96078,0.87018,0.8666,0.9242,0.70791,0.91505,0.626,1.0386,0.000317,0.000317,0.000317
70,2642.55,0.712,0.44501,0.96328,0.88609,0.84901,0.92014,0.70533,0.91009,0.61958,1.04182,0.00029225,0.00029225,0.00029225
71,2700.65,0.63188,0.38532,0.92265,0.86052,0.86905,0.91554,0.69663,0.91602,0.63071,1.04484,0.0002675,0.0002675,0.0002675
72,2735.05,0.60503,0.36934,0.91676,0.86104,0.86705,0.92079,0.70636,0.90501,0.61927,1.04058,0.00024275,0.00024275,0.00024275
73,2771.07,0.59275,0.3637,0.90829,0.84361,0.90485,0.92033,0.70794,0.90991,0.61268,1.04431,0.000218,0.000218,0.000218
74,2806.58,0.59131,0.35926,0.91241,0.87751,0.8666,0.91572,0.70322,0.91077,0.61283,1.05358,0.00019325,0.00019325,0.00019325
75,2841.64,0.58518,0.35642,0.90876,0.86731,0.86581,0.9181,0.7046,0.90322,0.61993,1.04866,0.0001685,0.0001685,0.0001685
76,2877.54,0.57521,0.3488,0.91002,0.85761,0.87687,0.91041,0.701,0.89804,0.61831,1.04812,0.00014375,0.00014375,0.00014375
77,2912.99,0.56764,0.34159,0.9041,0.85845,0.8778,0.91358,0.70513,0.8978,0.61373,1.05521,0.000119,0.000119,0.000119
78,2948.3,0.5638,0.34519,0.90455,0.8412,0.89086,0.91446,0.70986,0.89293,0.60961,1.04869,9.425e-05,9.425e-05,9.425e-05
79,2984.52,0.55915,0.33882,0.90231,0.86759,0.86847,0.91293,0.70547,0.90083,0.62346,1.05359,6.95e-05,6.95e-05,6.95e-05
80,3020.67,0.54879,0.33333,0.89971,0.86517,0.87391,0.91368,0.70782,0.88859,0.61651,1.04614,4.475e-05,4.475e-05,4.475e-05
