epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5194,1.50395,1.54508,1.37173,0.79622,0.80037,0.85128,0.54658,1.25507,1.18456,1.15561,0.000659864,0.000659864,0.000659864
2,70.8183,1.27174,1.05071,1.18872,0.77672,0.84695,0.84747,0.54773,1.21517,1.1396,1.14479,0.00131011,0.00131011,0.00131011
3,103.978,1.26239,1.00581,1.19055,0.818,0.83302,0.88696,0.58038,1.20362,0.93813,1.14601,0.00194387,0.00194387,0.00194387
4,138.351,1.20806,0.9309,1.16783,0.82608,0.85728,0.89972,0.58961,1.20473,0.84236,1.1615,0.00192575,0.00192575,0.00192575
5,175.161,1.18402,0.89604,1.15446,0.76262,0.81216,0.82733,0.53671,1.24046,0.93309,1.15897,0.001901,0.001901,0.001901
6,214.052,1.14869,0.85413,1.14907,0.81244,0.875,0.90734,0.62739,1.11258,0.79803,1.1368,0.00187625,0.00187625,0.00187625
7,250.054,1.14133,0.832,1.14038,0.82635,0.86381,0.90602,0.6077,1.1723,0.80176,1.13993,0.0018515,0.0018515,0.0018515
8,289.116,1.14004,0.81295,1.13498,0.85743,0.8415,0.91824,0.591,1.24395,0.79459,1.13589,0.00182675,0.00182675,0.00182675
9,328.141,1.10139,0.78352,1.12138,0.82998,0.87891,0.92714,0.66081,1.06026,0.74154,1.10711,0.001802,0.001802,0.001802
10,367.543,1.09506,0.76806,1.11858,0.81472,0.85728,0.89481,0.56016,1.29668,0.8247,1.15579,0.00177725,0.00177725,0.00177725
11,406.527,1.05448,0.74488,1.1046,0.84361,0.8694,0.91599,0.654,1.06675,0.70057,1.13137,0.0017525,0.0017525,0.0017525
12,445.279,1.06395,0.75179,1.1037,0.8142,0.81437,0.87643,0.50751,1.47275,0.87407,1.33006,0.00172775,0.00172775,0.00172775
13,481.044,1.05163,0.73333,1.10658,0.82892,0.86778,0.91135,0.63598,1.10039,0.78907,1.1711,0.001703,0.001703,0.001703
14,514.436,1.03464,0.72353,1.09505,0.84331,0.88364,0.92464,0.66933,1.02717,0.68996,1.1009,0.00167825,0.00167825,0.00167825
15,547.965,1.0365,0.71577,1.09174,0.84899,0.86847,0.92458,0.67151,1.01831,0.67968,1.06756,0.0016535,0.0016535,0.0016535
16,582.811,1.01056,0.69119,1.08275,0.84315,0.88433,0.92366,0.67698,1.00134,0.66762,1.08638,0.00162875,0.00162875,0.00162875
17,620.034,1.01466,0.69218,1.08986,0.84661,0.84981,0.92534,0.68085,1.00023,0.67239,1.08364,0.001604,0.001604,0.001604
18,663.54,0.99371,0.67887,1.07783,0.8407,0.87313,0.92052,0.65118,1.04391,0.71212,1.09671,0.00157925,0.00157925,0.00157925
19,701.486,0.98533,0.67343,1.07857,0.85496,0.86879,0.92652,0.68452,0.98756,0.66117,1.06644,0.0015545,0.0015545,0.0015545
20,738.118,0.97924,0.66565,1.06999,0.84927,0.85541,0.91481,0.66616,1.02503,0.68427,1.13239,0.00152975,0.00152975,0.00152975
21,772.972,0.97655,0.66784,1.07611,0.83723,0.87324,0.91197,0.65324,1.02724,0.66461,1.07365,0.001505,0.001505,0.001505
22,807.308,0.97023,0.65838,1.06818,0.82149,0.91045,0.92287,0.67082,0.99533,0.65085,1.0722,0.00148025,0.00148025,0.00148025
23,842.51,0.96044,0.64873,1.05702,0.84715,0.89272,0.93069,0.6953,0.96053,0.63204,1.06734,0.0014555,0.0014555,0.0014555
24,876.437,0.95636,0.6359,1.06158,0.86374,0.86007,0.92924,0.68786,0.98248,0.63766,1.06791,0.00143075,0.00143075,0.00143075
25,911.298,0.9317,0.63378,1.04902,0.82839,0.89366,0.9184,0.66951,1.03008,0.68868,1.10079,0.001406,0.001406,0.001406
26,948.035,0.92626,0.62106,1.04894,0.83046,0.89739,0.93174,0.69133,0.9703,0.62864,1.0746,0.00138125,0.00138125,0.00138125
27,982.482,0.91809,0.61592,1.04582,0.82974,0.90578,0.92878,0.68393,0.97847,0.64658,1.07129,0.0013565,0.0013565,0.0013565
28,1020.19,0.92569,0.61242,1.04378,0.85842,0.86533,0.93382,0.69453,0.9711,0.64876,1.08405,0.00133175,0.00133175,0.00133175
29,1055.56,0.90355,0.60746,1.04186,0.85721,0.87966,0.93484,0.7005,0.96753,0.64382,1.06533,0.001307,0.001307,0.001307
30,1090.85,0.90734,0.60691,1.0412,0.85622,0.8722,0.93368,0.6965,0.9717,0.64985,1.10357,0.00128225,0.00128225,0.00128225
31,1127.23,0.88253,0.58772,1.02811,0.84406,0.8836,0.92011,0.67538,0.99653,0.62625,1.06018,0.0012575,0.0012575,0.0012575
32,1164.96,0.89494,0.58971,1.02854,0.83337,0.89112,0.92508,0.68606,0.99755,0.64678,1.05738,0.00123275,0.00123275,0.00123275
33,1201.76,0.88941,0.58001,1.03263,0.85082,0.88713,0.92976,0.69594,0.95228,0.6337,1.04641,0.001208,0.001208,0.001208
34,1242.01,0.87127,0.57181,1.025,0.86731,0.85541,0.92608,0.68872,0.99169,0.63232,1.07153,0.00118325,0.00118325,0.00118325
35,1279.93,0.85386,0.57134,1.01718,0.85178,0.8899,0.93341,0.70317,0.96201,0.62722,1.0595,0.0011585,0.0011585,0.0011585
36,1354.2,0.88534,0.57791,1.03099,0.86722,0.85905,0.92605,0.69764,0.96517,0.63323,1.07009,0.00113375,0.00113375,0.00113375
37,1419.57,0.86968,0.56523,1.02144,0.8512,0.86979,0.92627,0.69918,0.9473,0.62724,1.06333,0.001109,0.001109,0.001109
38,1457.78,0.84848,0.55587,1.02132,0.84296,0.89366,0.92722,0.69173,0.98353,0.62441,1.07507,0.00108425,0.00108425,0.00108425
39,1494,0.85323,0.55629,1.01577,0.83857,0.88679,0.92413,0.69813,0.94938,0.61452,1.06787,0.0010595,0.0010595,0.0010595
40,1532.59,0.85012,0.54844,1.01568,0.84759,0.88899,0.92219,0.69974,0.9546,0.59816,1.05081,0.00103475,0.00103475,0.00103475
