epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0831,1.44231,1.22499,1.34851,0.7812,0.81265,0.8527,0.54196,1.30002,1.11907,1.26468,0.000659864,0.000659864,0.000659864
2,116.943,1.24133,0.91823,1.19787,0.79551,0.81286,0.86275,0.55246,1.26782,1.31862,1.29279,0.00131011,0.00131011,0.00131011
3,182.737,1.24141,0.91997,1.20577,0.79469,0.78353,0.87302,0.55408,1.29851,1.089,1.39013,0.00194387,0.00194387,0.00194387
4,247.687,1.19825,0.8592,1.18656,0.72819,0.84721,0.84067,0.55017,1.20906,0.93733,1.21209,0.00192575,0.00192575,0.00192575
5,309.021,1.15899,0.83261,1.17155,0.80643,0.84795,0.88797,0.61848,1.0922,0.82203,1.182,0.001901,0.001901,0.001901
6,375.272,1.12039,0.79129,1.15335,0.81529,0.88114,0.91026,0.63692,1.06223,0.82477,1.18286,0.00187625,0.00187625,0.00187625
7,436.728,1.10222,0.77284,1.14166,0.83488,0.85354,0.89688,0.63046,1.08192,0.75328,1.15182,0.0018515,0.0018515,0.0018515
8,498.104,1.09296,0.7489,1.13735,0.85249,0.86287,0.9252,0.65601,1.07911,0.69984,1.20235,0.00182675,0.00182675,0.00182675
9,559.379,1.06586,0.71842,1.12087,0.83089,0.88153,0.92165,0.61853,1.16455,0.72669,1.2061,0.001802,0.001802,0.001802
10,621.106,1.03931,0.70385,1.10941,0.81052,0.86188,0.89245,0.63169,1.0617,0.75526,1.17347,0.00177725,0.00177725,0.00177725
11,682.647,1.01857,0.6914,1.10306,0.83011,0.88423,0.92028,0.63933,1.06433,0.70901,1.18294,0.0017525,0.0017525,0.0017525
12,760.992,1.01168,0.6868,1.10578,0.83867,0.82556,0.88019,0.61222,1.12021,0.77961,1.19345,0.00172775,0.00172775,0.00172775
13,819.725,1.00402,0.67179,1.10014,0.83935,0.86381,0.9211,0.65737,1.06508,0.70638,1.19397,0.001703,0.001703,0.001703
14,878.925,0.98931,0.66249,1.09775,0.83973,0.86567,0.92529,0.68249,0.99325,0.64394,1.14843,0.00167825,0.00167825,0.00167825
15,937.993,0.98433,0.64656,1.08419,0.85247,0.88433,0.93186,0.67868,1.01606,0.65166,1.13283,0.0016535,0.0016535,0.0016535
