epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,996.595,0.95526,0.63235,1.07481,0.87269,0.85728,0.92763,0.69071,0.97413,0.64086,1.13172,0.00162875,0.00162875,0.00162875
17,1055.7,0.96105,0.62834,1.0839,0.84051,0.87998,0.93437,0.70075,0.95825,0.61329,1.13183,0.001604,0.001604,0.001604
18,1115.11,0.94085,0.62263,1.07078,0.82763,0.87593,0.92854,0.68441,0.98812,0.6926,1.14662,0.00157925,0.00157925,0.00157925
19,1174.9,0.93354,0.6082,1.06349,0.84283,0.875,0.92965,0.68556,1.00026,0.67022,1.13298,0.0015545,0.0015545,0.0015545
20,1233.48,0.91673,0.59885,1.06038,0.85551,0.86381,0.92932,0.68485,1.03262,0.65156,1.16583,0.00152975,0.00152975,0.00152975
21,1292.4,0.92127,0.59821,1.07061,0.84258,0.875,0.92811,0.6893,0.98505,0.62695,1.18327,0.001505,0.001505,0.001505
22,1351.48,0.89207,0.57538,1.05127,0.84242,0.89179,0.91568,0.68283,0.97422,0.63398,1.16007,0.00148025,0.00148025,0.00148025
23,1412.55,0.87958,0.56526,1.0383,0.86168,0.84846,0.92558,0.68941,0.97674,0.61629,1.15555,0.0014555,0.0014555,0.0014555
24,1474.68,0.8868,0.56513,1.04671,0.85422,0.85814,0.91811,0.69379,0.94092,0.64938,1.11981,0.00143075,0.00143075,0.00143075
25,1536.28,0.85849,0.56213,1.03397,0.87411,0.85495,0.92973,0.692,0.99049,0.6239,1.15454,0.001406,0.001406,0.001406
26,1596.78,0.86461,0.55458,1.03646,0.86093,0.872,0.93332,0.70528,0.93528,0.61949,1.11782,0.00138125,0.00138125,0.00138125
27,1657.17,0.84474,0.54339,1.02848,0.83822,0.89897,0.93198,0.70113,0.96048,0.60519,1.14135,0.0013565,0.0013565,0.0013565
28,1717.16,0.84899,0.53768,1.02749,0.87677,0.86287,0.93214,0.70236,0.95596,0.61521,1.11886,0.00133175,0.00133175,0.00133175
29,1783.99,0.83608,0.54046,1.02335,0.83681,0.87687,0.92567,0.70072,0.96139,0.61541,1.15735,0.001307,0.001307,0.001307
30,1842.59,0.8203,0.52399,1.02512,0.87535,0.85159,0.92666,0.69673,0.96038,0.63385,1.16643,0.00128225,0.00128225,0.00128225
31,1901.35,0.80613,0.51462,1.01313,0.85158,0.88993,0.93305,0.70586,0.95786,0.60224,1.1274,0.0012575,0.0012575,0.0012575
32,1959.87,0.80319,0.5118,1.00986,0.85489,0.84515,0.91266,0.68817,0.96346,0.67319,1.15519,0.00123275,0.00123275,0.00123275
33,2018.47,0.80016,0.50375,1.01408,0.88701,0.84218,0.92579,0.7017,0.95372,0.61842,1.14791,0.001208,0.001208,0.001208
34,2077.56,0.78795,0.49122,1.00431,0.84929,0.87034,0.92571,0.70533,0.95248,0.65985,1.12648,0.00118325,0.00118325,0.00118325
35,2139.27,0.77693,0.49336,0.9989,0.86408,0.87175,0.9225,0.70012,0.95396,0.61035,1.15226,0.0011585,0.0011585,0.0011585
36,2198.77,0.79234,0.4945,1.00743,0.8494,0.87407,0.90738,0.68691,0.93982,0.631,1.16049,0.00113375,0.00113375,0.00113375
37,2257.65,0.77006,0.48422,0.9952,0.89333,0.83302,0.91689,0.69915,0.92749,0.65046,1.14248,0.001109,0.001109,0.001109
38,2316.78,0.77212,0.48207,1.00321,0.8727,0.85056,0.92203,0.69738,0.94017,0.63243,1.16051,0.00108425,0.00108425,0.00108425
39,2376.19,0.75352,0.46853,0.99247,0.87947,0.85448,0.91266,0.69447,0.92786,0.65732,1.14015,0.0010595,0.0010595,0.0010595
40,2456.71,0.75464,0.47284,0.98974,0.87119,0.85914,0.92015,0.70053,0.91609,0.60356,1.1139,0.00103475,0.00103475,0.00103475
41,2515.03,0.73791,0.46119,0.98448,0.86945,0.86101,0.91948,0.70153,0.93352,0.61309,1.16803,0.00101,0.00101,0.00101
42,2575.2,0.74298,0.46229,0.9866,0.87503,0.84908,0.92328,0.71198,0.93002,0.63704,1.11827,0.00098525,0.00098525,0.00098525
43,2632.96,0.7254,0.45567,0.97754,0.86622,0.87034,0.92291,0.70543,0.92157,0.63702,1.15458,0.0009605,0.0009605,0.0009605
44,2693.13,0.72499,0.45467,0.98123,0.88705,0.83955,0.9166,0.69867,0.94785,0.63828,1.16071,0.00093575,0.00093575,0.00093575
45,2752.43,0.71874,0.44639,0.97625,0.90227,0.82678,0.91155,0.6905,0.93852,0.65806,1.12225,0.000911,0.000911,0.000911
46,2811.04,0.70765,0.44093,0.97064,0.86231,0.8588,0.91608,0.70519,0.91372,0.64247,1.11309,0.00088625,0.00088625,0.00088625
47,2869.16,0.70429,0.43404,0.97124,0.85474,0.87034,0.91859,0.70103,0.94084,0.6373,1.14789,0.0008615,0.0008615,0.0008615
48,2927.67,0.70209,0.43679,0.97393,0.87598,0.86315,0.9203,0.70679,0.91783,0.63606,1.16692,0.00083675,0.00083675,0.00083675
49,2985.66,0.69696,0.43368,0.9696,0.8816,0.84422,0.9213,0.7066,0.91797,0.62103,1.15203,0.000812,0.000812,0.000812
50,3042.5,0.69179,0.42468,0.96723,0.86025,0.84985,0.90135,0.69216,0.92792,0.66516,1.15499,0.00078725,0.00078725,0.00078725
51,3099.23,0.68261,0.41747,0.96406,0.87024,0.86754,0.91049,0.70169,0.90498,0.63911,1.1342,0.0007625,0.0007625,0.0007625
52,3156.19,0.68402,0.42155,0.95909,0.85863,0.86474,0.91286,0.69971,0.92625,0.63777,1.12257,0.00073775,0.00073775,0.00073775
53,3213.68,0.67266,0.40884,0.95301,0.87101,0.86007,0.9206,0.70146,0.92913,0.63048,1.14197,0.000713,0.000713,0.000713
54,3270.79,0.66756,0.40764,0.95782,0.87136,0.86754,0.91711,0.70002,0.95102,0.64359,1.16214,0.00068825,0.00068825,0.00068825
55,3328.88,0.65589,0.40233,0.95267,0.86441,0.86824,0.91261,0.69931,0.90712,0.6323,1.14851,0.0006635,0.0006635,0.0006635
56,3387.2,0.65406,0.39957,0.95401,0.85489,0.8806,0.91455,0.69999,0.91648,0.61368,1.1339,0.00063875,0.00063875,0.00063875
57,3445.99,0.6435,0.39262,0.94975,0.85317,0.87407,0.91239,0.70211,0.91669,0.6404,1.12738,0.000614,0.000614,0.000614
58,3504.54,0.64306,0.38826,0.94989,0.88399,0.84608,0.91851,0.70867,0.91749,0.62803,1.16382,0.00058925,0.00058925,0.00058925
59,3562.83,0.63992,0.39123,0.94807,0.88036,0.85261,0.89943,0.693,0.90496,0.64581,1.14399,0.0005645,0.0005645,0.0005645
60,3625.82,0.63727,0.38858,0.94584,0.8751,0.85623,0.90404,0.69664,0.90669,0.65397,1.1309,0.00053975,0.00053975,0.00053975
61,3690.64,0.62241,0.38217,0.94254,0.85616,0.8722,0.91202,0.70405,0.90306,0.63855,1.15055,0.000515,0.000515,0.000515
62,3756.68,0.62348,0.38141,0.94205,0.875,0.86191,0.9076,0.69886,0.90714,0.64289,1.13823,0.00049025,0.00049025,0.00049025
63,3824.35,0.62324,0.37992,0.94486,0.85953,0.86847,0.90715,0.69834,0.90582,0.64445,1.13405,0.0004655,0.0004655,0.0004655
64,3886.73,0.61075,0.37318,0.93789,0.88045,0.8519,0.89901,0.69328,0.90471,0.6755,1.13517,0.00044075,0.00044075,0.00044075
65,3945.63,0.59937,0.36602,0.93222,0.85117,0.88027,0.9081,0.70422,0.90358,0.66342,1.14054,0.000416,0.000416,0.000416
66,4003.79,0.6031,0.36736,0.93614,0.84979,0.87076,0.90675,0.70263,0.91234,0.6755,1.13768,0.00039125,0.00039125,0.00039125
67,4063.08,0.59665,0.36746,0.93464,0.87128,0.85634,0.90409,0.69787,0.9093,0.63942,1.14134,0.0003665,0.0003665,0.0003665
68,4122.27,0.59085,0.36046,0.93286,0.84399,0.89323,0.91288,0.71021,0.90318,0.64484,1.15719,0.00034175,0.00034175,0.00034175
69,4182.53,0.58823,0.35747,0.93095,0.86528,0.86007,0.90102,0.70163,0.89746,0.67904,1.14718,0.000317,0.000317,0.000317
70,4241.99,0.59013,0.35509,0.92995,0.84832,0.88246,0.90414,0.7023,0.90239,0.67423,1.14262,0.00029225,0.00029225,0.00029225
71,4323.84,0.51383,0.30649,0.89324,0.86829,0.86474,0.90735,0.7027,0.92706,0.66357,1.18841,0.0002675,0.0002675,0.0002675
72,4380.55,0.49262,0.29162,0.89368,0.87288,0.86475,0.90725,0.70695,0.89396,0.66935,1.18117,0.00024275,0.00024275,0.00024275
73,4436.8,0.4771,0.28715,0.88607,0.87648,0.85168,0.90705,0.7059,0.91344,0.68414,1.16752,0.000218,0.000218,0.000218
74,4493.39,0.47395,0.28599,0.88705,0.87582,0.85075,0.90847,0.70859,0.91472,0.69007,1.18736,0.00019325,0.00019325,0.00019325
75,4549.59,0.46189,0.27925,0.88327,0.86887,0.85919,0.90725,0.70794,0.90161,0.67751,1.1722,0.0001685,0.0001685,0.0001685
76,4608.14,0.45662,0.27659,0.88486,0.84768,0.87734,0.90413,0.70417,0.90562,0.66781,1.17684,0.00014375,0.00014375,0.00014375
77,4665.86,0.44631,0.26899,0.87866,0.84635,0.88381,0.90507,0.7068,0.90494,0.67672,1.17943,0.000119,0.000119,0.000119
78,4723.79,0.44336,0.26855,0.87679,0.85112,0.87462,0.90469,0.70459,0.90087,0.693,1.16765,9.425e-05,9.425e-05,9.425e-05
79,4781.91,0.43845,0.26529,0.87409,0.87101,0.85036,0.90669,0.70744,0.89807,0.68067,1.16732,6.95e-05,6.95e-05,6.95e-05
80,4839.28,0.42953,0.25943,0.87207,0.85984,0.85914,0.90668,0.70593,0.89697,0.67895,1.1655,4.475e-05,4.475e-05,4.475e-05
